data,ativo,tone,volume
2021-09-20,BTC,-1.5938,0.1261
2021-09-21,BTC,-1.6484,0.2002
2021-09-22,BTC,-0.497,0.118
2021-09-23,BTC,0.5374,0.1454
2021-09-24,BTC,-2.749,0.264
2021-09-25,BTC,-1.2566,0.1565
2021-09-26,BTC,-1.2931,0.0725
2021-09-27,BTC,-0.6717,0.1533
2021-09-28,BTC,-0.5487,0.1485
2021-09-29,BTC,-0.2114,0.0982
2021-09-30,BTC,0.0231,0.1063
2021-10-01,BTC,-0.8745,0.114
2021-10-02,BTC,-1.0317,0.0661
2021-10-03,BTC,-0.0509,0.0558
2021-10-04,BTC,-0.7234,0.1043
2021-10-05,BTC,-0.2487,0.1215
2021-10-06,BTC,-0.1888,0.1357
2021-10-07,BTC,0.1916,0.1239
2021-10-08,BTC,-0.0593,0.0997
2021-10-09,BTC,-0.0962,0.0614
2021-10-10,BTC,-0.7711,0.0664
2021-10-11,BTC,-0.2803,0.1026
2021-10-12,BTC,0.0284,0.1055
2021-10-13,BTC,0.0123,0.1192
2021-10-14,BTC,0.0773,0.1204
2021-10-15,BTC,-0.3213,0.2279
2021-10-16,BTC,-0.3179,0.2808
2021-10-17,BTC,-0.6283,0.1108
2021-10-18,BTC,-0.0877,0.2108
2021-10-19,BTC,0.6122,0.2346
2021-10-20,BTC,0.6731,0.2521
2021-10-21,BTC,-0.2933,0.2398
2021-10-22,BTC,0.0081,0.1124
2021-10-23,BTC,0.0796,0.0858
2021-10-24,BTC,0.2084,0.0925
2021-10-25,BTC,-0.69,0.1601
2021-10-26,BTC,0.0012,0.1276
2021-10-27,BTC,0.3477,0.1278
2021-10-28,BTC,0.0732,0.1217
2021-10-29,BTC,-0.1749,0.1293
2021-10-30,BTC,-0.0089,0.1046
2021-10-31,BTC,-0.5559,0.111
2021-11-01,BTC,-0.0106,0.1472
2021-11-02,BTC,0.2082,0.1418
2021-11-03,BTC,0.2182,0.1265
2021-11-04,BTC,0.0071,0.0974
2021-11-05,BTC,-0.5806,0.1461
2021-11-06,BTC,-0.7873,0.0944
2021-11-07,BTC,-0.6105,0.0785
2021-11-08,BTC,-0.0539,0.1529
2021-11-09,BTC,-0.0007,0.2016
2021-11-10,BTC,0.118,0.1801
2021-11-11,BTC,0.2277,0.1414
2021-11-12,BTC,0.0414,0.1634
2021-11-13,BTC,-0.307,0.1123
2021-11-14,BTC,-0.4495,0.0843
2021-11-15,BTC,0.6721,0.1427
2021-11-16,BTC,-0.0856,0.1657
2021-11-17,BTC,-0.1275,0.1955
2021-11-18,BTC,-0.3093,0.193
2021-11-19,BTC,-0.88,0.1566
2021-11-20,BTC,-0.6285,0.0983
2021-11-21,BTC,0.0538,0.226
2021-11-22,BTC,0.3323,0.1502
2021-11-23,BTC,-0.3332,0.136
2021-11-24,BTC,-0.5938,0.1518
2021-11-25,BTC,-0.288,0.1074
2021-11-26,BTC,-1.1044,0.1749
2021-11-27,BTC,-2.0633,0.1705
2021-11-28,BTC,-1.2461,0.1273
2021-11-29,BTC,-0.3382,0.2134
2021-11-30,BTC,-0.2311,0.1342
2021-12-01,BTC,-0.0792,0.1334
2021-12-02,BTC,-0.3988,0.133
2021-12-03,BTC,0.0113,0.1261
2021-12-04,BTC,-1.5503,0.1304
2021-12-05,BTC,-1.5638,0.0969
2021-12-06,BTC,-1.7949,0.2284
2021-12-07,BTC,-0.7001,0.2065
2021-12-08,BTC,-0.2887,0.1485
2021-12-09,BTC,-0.051,0.1139
2021-12-10,BTC,-1.7746,0.1371
2021-12-11,BTC,-1.9767,0.0975
2021-12-12,BTC,-1.6705,0.1212
2021-12-13,BTC,-0.8688,0.1743
2021-12-14,BTC,-0.3771,0.1603
2021-12-15,BTC,-0.7492,0.1472
2021-12-16,BTC,-0.061,0.1133
2021-12-17,BTC,-0.1633,0.1341
2021-12-18,BTC,-0.0845,0.0813
2021-12-19,BTC,-0.8996,0.1034
2021-12-20,BTC,-0.0971,0.1126
2021-12-21,BTC,-0.5319,0.1414
2021-12-22,BTC,-0.3278,0.1244
